,PS_filename,PS_Date,S2_filename,S2_Date,band,perc_valid,m,b,Area,PS_Sat
37,I5_20170602_0c54_analytic_mosaic.tif,2017-06-02,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,1,0.7585059171597633,7.757256896263377e-05,-0.0798334176840958,1,0c54
38,I5_20170602_0c54_analytic_mosaic.tif,2017-06-02,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,2,0.7585059171597633,9.988409095053583e-05,-0.0937186489809023,1,0c54
39,I5_20170602_0c54_analytic_mosaic.tif,2017-06-02,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,3,0.7585059171597633,3.54946760680858e-06,0.2968273855311596,1,0c54
40,I5_20170604_1001_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,0,0.6871301775147929,-6.573612116762303e-07,0.094713065320641,1,1001
41,I5_20170604_1001_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,1,0.6871301775147929,-6.088762877003436e-07,0.0998704010575155,1,1001
42,I5_20170604_1001_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,2,0.6871301775147929,-1.446779969219839e-06,0.0832466248525332,1,1001
43,I5_20170604_1001_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,3,0.6871301775147929,2.4523758522932166e-06,0.3021816590177315,1,1001
44,I5_20170604_1003_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,0,0.540310650887574,-6.533608178864637e-07,0.0958115322157784,1,1003
45,I5_20170604_1003_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,1,0.540310650887574,-5.478338890908838e-07,0.1006884731952977,1,1003
46,I5_20170604_1003_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,2,0.540310650887574,-1.1746369874866325e-06,0.0855707819530585,1,1003
47,I5_20170604_1003_analytic_mosaic.tif,2017-06-04,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,3,0.540310650887574,3.806584084194741e-06,0.2907999858584307,1,1003
48,I5_20170603_0f28_analytic_mosaic.tif,2017-06-03,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,0,0.8125,2.3446603344739677e-05,-0.0523847423839831,1,0f28
49,I5_20170603_0f28_analytic_mosaic.tif,2017-06-03,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,1,0.8125,2.594710463769132e-05,-0.0502744808985143,1,0f28
50,I5_20170603_0f28_analytic_mosaic.tif,2017-06-03,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,2,0.8125,3.223407236881413e-05,-0.0627926124947888,1,0f28
51,I5_20170603_0f28_analytic_mosaic.tif,2017-06-03,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,3,0.8125,4.290846708926519e-05,-0.041590442960046,1,0f28
52,I5_20170611_1042_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,0,0.5983727810650887,-1.7495787760666785e-06,0.0974669033716926,1,1042
53,I5_20170611_1042_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,1,0.5983727810650887,-1.5002667831631982e-06,0.1079266552831118,1,1042
54,I5_20170611_1042_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,2,0.5983727810650887,-2.161828707498061e-06,0.0899543838914451,1,1042
55,I5_20170611_1042_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,3,0.5983727810650887,3.091080654653918e-06,0.3477690444373623,1,1042
56,I5_20170611_0e1f_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,0,0.4663461538461538,2.636426001311545e-06,0.0916460979089669,1,0e1f
57,I5_20170611_0e1f_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,1,0.4663461538461538,2.438114142108351e-06,0.104172002229766,1,0e1f
58,I5_20170611_0e1f_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,2,0.4663461538461538,5.667139325866403e-06,0.0832148247954125,1,0e1f
59,I5_20170611_0e1f_analytic_mosaic.tif,2017-06-11,20170610T100031_S2A_MSIL2A_20170610T100027_C122_10m_S2.tif,2017-06-10,3,0.4663461538461538,-5.2118593726171326e-06,0.3619125234692956,1,0e1f
60,I5_20170612_101b_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,0,0.8846153846153846,1.8262863314103378e-05,-0.0069056760943672,1,101b
61,I5_20170612_101b_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,1,0.8846153846153846,2.1426201316954197e-05,-0.0117788626271061,1,101b
62,I5_20170612_101b_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,2,0.8846153846153846,2.7584308388576773e-05,-0.0345564187654615,1,101b
63,I5_20170612_101b_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,3,0.8846153846153846,3.934366890165934e-05,-0.0107372604056324,1,101b
64,I5_20170612_103a_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,0,0.889792899408284,1.6729297891904163e-05,0.0044226825674993,1,103a
65,I5_20170612_103a_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,1,0.889792899408284,1.929761001193102e-05,-0.0001723014151165,1,103a
